Name	Location	Rank	Tuition and fees	In-state	Undergrad Enrollment
Oklahoma State University	Stillwater, OK	152	20978.00	7778.00	21046
University of California--Merced	Merced, CA	152	39944.00	13262.00	6237
University of Illinois--Chicago	Chicago, IL	152	26526.00	13670.00	17575
University of La Verne	La Verne, CA	152	39900.00	-	2864
University of Massachusetts--Lowell	Lowell, MA	152	29125.00	13427.00	13266
Seattle Pacific University	Seattle, WA	159	38940.00	-	3202
University of Alabama--Birmingham	Birmingham, AL	159	17654.00	7766.00	11511
University of Maryland--Baltimore County	Baltimore, MD	159	24492.00	11264.00	11243
University of Rhode Island	Kingston, RI	159	28852.00	12862.00	13641
University of South Florida	Tampa, FL	159	17325.00	6410.00	31111
Biola University	La Mirada, CA	164	36696.00	-	4225
Maryville University of St. Louis	St Louis, MO	164	27958.00	-	2795
Missouri University of Science & Technology	Rolla, MO	164	26152.00	9628.00	6841
St. John's University	Queens, NY	164	39460.00	-	16210
Virginia Commonwealth University	Richmond, VA	164	31608.00	13076.00	24051
Union University	Jackson, TN	169	30420.00	-	2829
University of Hawaii--Manoa	Honolulu, HI	169	33764.00	11732.00	13689
Edgewood College	Madison, WI	171	27530.00	-	1813
Florida Institute of Technology	Melbourne, FL	171	40446.00	-	3586
University of Idaho	Moscow, ID	171	22040.00	7232.00	9116
University of Louisville	Louisville, KY	171	24626.00	10738.00	15769
University of Wyoming	Laramie, WY	171	16215.00	5055.00	10045
Ball State University	Muncie, IN	176	25428.00	9654.00	16602
Lipscomb University	Nashville, TN	176	29756.00	-	3030
Mississippi State University	Mississippi State, MS	176	20142.00	7502.00	17421
Montclair State University	Montclair, NJ	176	20318.00	11771.00	16336
Texas Tech University	Lubbock, TX	176	22861.00	10622.00	29237
University of Central Florida	Orlando, FL	176	22467.00	6368.00	54513
University of New Mexico	Albuquerque, NM	176	21302.00	7071.00	20522
Andrews University	Berrien Springs, MI	183	27684.00	-	1733
Azusa Pacific University	Azusa, CA	183	36120.00	-	5883
University of Maine	Orono, ME	183	29498.00	10628.00	9297
West Virginia University	Morgantown, WV	183	21432.00	7632.00	22498
Widener University	Chester, PA	183	42870.00	-	3554
Kent State University	Kent, OH	188	18376.00	10012.00	23607
North Dakota State University	Fargo, ND	188	19790.00	9046.00	12037
Pace University	New York, NY	188	42772.00	-	8747
Robert Morris University	Moon Township, PA	188	28250.00	-	4497
Suffolk University	Boston, MA	188	35578.00	-	5565
University of Hartford	West Hartford, CT	188	37790.00	-	5246
Bowling Green State University	Bowling Green, OH	194	18332.00	10796.00	14334
University of Houston	Houston, TX	194	25410.00	10710.00	34716
Western Michigan University	Kalamazoo, MI	194	25713.00	11029.00	18567
Indiana University-Purdue University--Indianapolis	Indianapolis, IN	197	29791.00	9205.00	21985
Lesley University	Cambridge, MA	197	25750.00	-	1520
University of Alabama--Huntsville	Huntsville, AL	197	20622.00	9128.00	6013
University of Colorado--Denver	Denver, CO	197	29334.00	10404.00	14036
University of Nevada--Reno	Reno, NV	197	21052.00	7142.00	17770
California State University--Fullerton	Fullerton, CA	202	17596.00	6436.00	33144
Central Michigan University	Mount Pleasant, MI	202	23670.00	12150.00	20498
Louisiana Tech University	Ruston, LA	202	25851.00	8853.00	10682
South Dakota State University	Brookings, SD	202	11403.00	8172.00	11007
University of Alaska--Fairbanks	Fairbanks, AK	202	22469.00	7799.00	7610
University of North Carolina--Charlotte	Charlotte, NC	202	20193.00	6617.00	22732
University of North Dakota	Grand Forks, ND	202	18899.00	4965.00	11577
University of South Dakota	Vermillion, SD	202	11688.00	8457.00	7435
East Carolina University	Greenville, NC	210	22904.00	6946.00	23039
Montana State University	Bozeman, MT	210	23042.00	7031.00	13707
Old Dominion University	Norfolk, VA	210	27028.00	10048.00	20101
University of Missouri--Kansas City	Kansas City, MO	210	22714.00	9551.00	11253
Ashland University	Ashland, OH	214	20392.00	-	3716
Dallas Baptist University	Dallas, TX	214	26180.00	-	3315
Northern Illinois University	DeKalb, IL	214	23799.00	14334.00	15027
Nova Southeastern University	Ft. Lauderdale, FL	214	27660.00	-	4641
Southern Illinois University--Carbondale	Carbondale, IL	214	27130.00	13481.00	13031
University of Montana	Missoula, MT	214	24562.00	6446.00	8732
Benedictine University	Lisle, IL	220	32170.00	-	3347
California State University--Fresno	Fresno, CA	220	17209.00	6313.00	21482
Gardner-Webb University	Boiling Springs, NC	220	29850.00	-	2615
New Mexico State University	Las Cruces, NM	220	21234.00	6729.00	12526
Shenandoah University	Winchester, VA	220	31322.00	-	2010
Tennessee Technological University	Cookeville, TN	220	24800.00	16311.00	9801
University of Massachusetts--Boston	Boston, MA	220	32023.00	13435.00	12949
University of Massachusetts--Dartmouth	North Dartmouth, MA	220	19270.00	12588.00	7295
University of Missouri--St. Louis	St. Louis, MO	220	26277.00	10065.00	13569
University of North Carolina--Greensboro	Greensboro, NC	220	21595.00	6733.00	15951
University of Southern Mississippi	Hattiesburg, MS	220	16094.00	7224.00	11840
Utah State University	Logan, UT	220	19772.00	6866.00	25259
